id,longitude,latitude,easting,northing,sg_bdod,sg_cec,sg_cfvo,sg_clay,sg_nitrogen,sg_ocd,sg_phh2o,sg_sand,sg_silt,sg_soc
60,-73.81,-13.060000000000002,629022.5354244905,8555926.28623773,1.1092969179153442,28.063203811645508,29.332294464111328,20.598600387573242,5.579909801483154,40.460044860839844,6.310408115386963,40.54485321044922,38.85654830932617,66.900054931640625
61,-73.89,-13.159999999999997,620299.1260449148,8544905.044653399,1.2764081954956055,19.802833557128906,19.901512145996094,30.51639747619629,1.8237603902816772,20.883638381958008,6.599999904632568,35.888519287109375,33.597137451171875,16.54747772216797
62,-74.01,-12.919999999999996,607396.0733037328,8571503.679141542,1.2400000095367432,26.511096954345703,25.529449462890625,29.731658935546875,3.9150702953338623,26.46756362915039,6.5,36.51983642578125,33.748504638671875,20.738508224487305
63,-73.81,-13.060000000000002,629022.5354244905,8555926.28623773,1.1092969179153442,28.063203811645508,29.332294464111328,20.598600387573242,5.579909801483154,40.460044860839844,6.310408115386963,40.54485321044922,38.85654830932617,66.900054931640625
64,-74.08,-12.839999999999991,599833.4692973321,8580379.83567544,1.2400000095367432,22.656963348388672,23.942434310913086,28.197240829467773,5.863999843597412,28.160539627075195,6.254639625549316,39.82650375366211,31.948749542236328,26.65967559814453
65,-73.83,-13.099999999999994,626833.3654281322,8551512.07044968,1.2206538915634155,18.630311965942383,29.119327545166016,28.826913833618164,3.0157670974731445,24.500850677490234,6.144026756286621,38.517982482910156,32.65510177612305,29.83846664428711
66,-74.02,-12.910000000000002,606315.3966690381,8572613.851510623,1.233460783958435,23.30430793762207,24.40546226501465,28.947174072265625,4.386686325073242,25.94257164001465,6.320797443389893,40.53236389160156,30.520462036132813,23.70400619506836
67,-74,-12.850000000000001,608511.1165295125,8579241.503439892,1.208643913269043,22.708213806152344,25.41183853149414,22.645183563232422,5.278857231140137,29.005077362060547,6.2939276695251465,41.95142364501953,35.358619689941406,32.13392639160156
68,-73.97,-12.939999999999994,611726.8250079842,8569274.53637571,1.2485260963439941,22.983476638793945,22.193313598632813,23.234130859375,3.651122808456421,22.71196174621582,6.472894191741943,39.162532806396484,37.60333251953125,22.108732223510742
69,-73.97,-13.05,611677.6388266672,8557108.276339281,1.3005845546722412,23.75312042236328,23.059513092041016,25.82476043701172,1.994166612625122,20.40217399597168,6.894347667694092,39.891780853271484,34.28365707397461,18.404329299926758
70,-73.9,-13.190000000000005,619200.7076758132,8541591.620889567,1.2199528217315674,19.19919776916504,25.610517501831055,33.44123077392578,3.145867109298706,24.26064682006836,6.300000190734863,37.5166015625,29.04216766357422,20.289047241210938
71,-74.13,-12.829999999999993,594411.0788663297,8581504.637428759,1.2026695013046265,23.54343032836914,19.762187957763672,26.878124237060547,6.830789089202881,31.834596633911133,6.059363842010498,40.74551773071289,32.40304946899414,28.796308517456055
72,-74.09,-12.930000000000003,598712.9830555099,8570429.875771658,1.227597713470459,24.443283081054688,24.270551681518555,26.22341537475586,4.896145820617676,25.977214813232422,6.292525768280029,41.28416061401367,32.49242401123047,25.461742401123047
73,-74.07,-12.94999999999999,600874.6292391149,8568210.101129506,1.189303994178772,23.58119773864746,23.97186279296875,23.779067993164063,6.457263469696045,27.087675094604492,6.300000190734863,42.008331298828125,34.158748626708984,23.749509811401367
74,-73.91,-12.879999999999994,618264.0852430806,8575883.783922467,1.1714131832122803,23.58794403076172,22.851261138916016,25.3666934967041,4.943479061126709,30.032672882080078,6.300673484802246,39.164493560791016,35.46881103515625,32.94230651855469
75,-73.98,-12.950000000000001,610637.5829628028,8568172.866311692,1.244691014289856,24.252878189086914,19.806270599365234,26.37063980102539,2.788499355316162,21.57556915283203,6.4166388511657715,39.841121673583984,33.80187225341797,20.72882652282715
76,-73.96,-13.020000000000003,612775.5806277483,8560421.943111276,1.3223962783813477,25.44745635986328,24.343475341796875,26.36726188659668,1.8446197509765625,19.6778564453125,6.873053073883057,38.649139404296875,34.97977828979492,18.51380157470703
77,-74.02,-12.969999999999999,606289.9771217597,8565977.828779683,1.1902568340301514,22.68098258972168,28.581127166748047,27.7935791015625,5.563618183135986,26.76873016357422,6.381636619567871,41.052345275878906,31.155359268188477,26.2335205078125
78,-74.09,-12.969999999999999,598697.2356830921,8566005.938070538,1.1794897317886353,24.634458541870117,19.33289909362793,25.136337280273438,6.207732677459717,30.237138748168945,6.0011467933654785,41.39132308959961,33.56494903564453,28.002227783203125
79,-74.06,-12.830000000000002,602007.9680574485,8581477.989275908,1.2301896810531616,23.946685791015625,25.590726852416992,26.840072631835938,5.046131610870361,28.099485397338867,6.282552719116211,40.64799499511719,32.52937698364258,26.355403900146484
80,-73.88,-13.179999999999989,621373.1723682526,8542688.106678177,1.2191129922866821,21.849933624267578,17.257970809936523,33.88673400878906,2.8792920112609863,23.53969955444336,6.2911295890808105,36.00698471069336,30.146413803100586,20.91710662841797
81,-74.02,-12.85,606340.7002357309,8579249.844729938,1.2241429090499878,23.181608200073242,24.106494903564453,26.4276123046875,3.6756224632263184,27.44889259338379,6.3521270751953125,43.258358001708984,30.314027786254883,24.41874122619629
82,-73.81,-13.060000000000002,629022.5354244905,8555926.28623773,1.1092969179153442,28.063203811645508,29.332294464111328,20.598600387573242,5.579909801483154,40.460044860839844,6.310408115386963,40.54485321044922,38.85654830932617,66.900054931640625
