"id","longitude","latitude","BI","DVI","GLI","GNDVI","MBI","MSAVI","NBR","NDMI","NDVI","VARI"
27,-73.96,-13.02,0.15580090880394,0.0543399974703789,0.0857188105583191,0.474209129810333,0.274117559194565,0.0995347201824188,0.0817462354898453,-0.0772846266627312,0.396425306797028,-0.121800303459167
28,-73.93,-13.09,0.146555379033089,0.112584993243217,0.0734637752175331,0.527927100658417,0.305307298898697,0.194379195570946,0.112088307738304,-0.0959475561976433,0.46871355175972,-0.105739213526249
29,-73.9,-13.12,-0.0184865538030863,0.159307509660721,0.0354418233036995,0.489418417215347,0.158199518918991,0.245132267475128,0.284611314535141,0.133973956108093,0.413149893283844,-0.135541453957558
30,-73.89,-13.18,-0.0533578060567379,0.185955002903938,0.105351261794567,0.667594313621521,0.177972719073296,0.316022157669067,0.419209003448486,0.16097117960453,0.605884373188019,-0.125407144427299
31,-73.95,-12.89,0.0949456617236137,0.0990549996495247,0.0930287167429924,0.599132478237152,0.270279258489609,0.178122907876968,0.238923773169518,-0.00555735686793923,0.517860174179077,-0.142495915293694
32,-73.85,-13.08,0.0689821615815163,0.139974996447563,0.0844593793153763,0.471538186073303,0.199816569685936,0.221533492207527,0.15056523680687,0.0332619808614254,0.405430853366852,-0.106752015650272
33,-73.94,-12.88,-0.00139592366758734,0.128342494368553,0.0877146571874619,0.636277139186859,0.180503845214844,0.224046215415001,0.360020577907562,0.137387871742249,0.531697630882263,-0.181068629026413
34,-73.93,-13.17,0.268602341413498,0.0932662487030029,0.0154126193374395,0.422263264656067,0.365446537733078,0.149839371442795,-0.0801689624786377,-0.247719556093216,0.309385687112808,-0.180039510130882
35,-73.9,-12.87,0.174664974212646,0.165797501802444,0.0352718494832516,0.552701532840729,0.335026949644089,0.255146473646164,0.182259872555733,-0.0960678979754448,0.426242053508759,-0.205502420663834
36,-74.04,-12.88,0.199218809604645,0.135492503643036,0.0200635399669409,0.551251530647278,0.314732849597931,0.21892249584198,0.0461057350039482,-0.135761350393295,0.421776384115219,-0.21469746530056
37,-74,-12.9,-0.161830112338066,0.0698224976658821,0.312386721372604,0.743235409259796,0.0979225635528564,0.135529592633247,0.522007405757904,0.281735301017761,0.726768851280212,-0.0353594124317169
38,-73.88,-13.06,0.130568772554398,0.139947503805161,0.0608761049807072,0.603396415710449,0.294648021459579,0.236752778291702,0.191948935389519,-0.0504221059381962,0.501550018787384,-0.178741201758385
39,-73.96,-13.02,0.15580090880394,0.0543399974703789,0.0857188105583191,0.474209129810333,0.274117559194565,0.0995347201824188,0.0817462354898453,-0.0772846266627312,0.396425306797028,-0.121800303459167
40,-74.08,-12.85,0.23908905684948,0.116022497415543,0.0305712521076202,0.498552948236465,0.358658224344254,0.185754850506783,0.0541169382631779,-0.176073327660561,0.363783866167068,-0.206687197089195
41,-74.02,-12.87,0.164018407464027,0.0766425058245659,0.052737720310688,0.467398047447205,0.282179147005081,0.131785586476326,0.114175371825695,-0.0710292160511017,0.351116120815277,-0.175000593066216
42,-73.87,-13.13,0.21526525914669,0.0937750041484833,0.006806671153754,0.42134565114975,0.310242354869843,0.149414151906967,-0.0442956574261189,-0.175311326980591,0.301648586988449,-0.191154181957245
43,-74.02,-12.95,0.0723042413592339,0.111430004239082,0.0346324108541012,0.400169134140015,0.185792714357376,0.167689636349678,0.170847415924072,0.0574337840080261,0.289231389760971,-0.168009400367737
44,-73.79,-13.1,-0.347002059221268,0.0970475003123283,0.422107070684433,0.844232380390167,0.00339870410971344,0.190089762210846,0.689989805221558,0.430550634860992,0.85045462846756,0.0205497927963734
45,-74.06,-12.92,-0.041118748486042,0.286027491092682,0.0879999995231628,0.657090604305267,0.187257379293442,0.4294353723526,0.373124241828918,0.134729012846947,0.601507842540741,-0.117117956280708
46,-73.98,-12.87,0.299668610095978,0.0727375000715256,0.0594665370881557,0.495209366083145,0.373304784297943,0.128050580620766,-0.0801605880260468,-0.255204409360886,0.380053550004959,-0.175319626927376
47,-74.01,-12.95,0.117864139378071,0.13417249917984,0.0282010175287724,0.486006319522858,0.253763288259506,0.211027309298515,0.110685393214226,-0.0426564030349255,0.385035902261734,-0.169146120548248
48,-73.88,-13.15,0.0629826933145523,0.0948887467384338,0.0896699130535126,0.575476348400116,0.233369469642639,0.170813530683517,0.221512511372566,0.0266979318112135,0.5075723528862,-0.121010698378086
49,-73.89,-13.04,0.140670046210289,0.115390002727509,0.0403663143515587,0.53592985868454,0.268214970827103,0.191312715411186,0.143551498651505,-0.0434019044041634,0.408865422010422,-0.201124176383018
50,-74.07,-12.85,0.212676554918289,0.113767504692078,0.0205043721944094,0.468846201896667,0.320700168609619,0.18004997074604,0.0147456275299191,-0.156693786382675,0.344734340906143,-0.195742577314377
51,-74.07,-12.97,0.326786190271378,0.0811662450432777,0.0334390439093113,0.462261497974396,0.381564319133759,0.137011602520943,-0.149836048483849,-0.299292653799057,0.337273985147476,-0.190511450171471
52,-74.02,-12.92,0.102767832577229,0.131229996681213,0.0411769710481167,0.514781892299652,0.256878405809402,0.210249185562134,0.216611832380295,-0.000449551589554176,0.400888949632645,-0.183278724551201
